name,brand,sensor,pixels,video,weight,stabilization,display,fps,mount,price,type,image_url,description
Canon EOS R100,Canon,APS-C,24.1,4K24,356,None,Fixed,6.5,Canon RF,0,Mirrorless,,"캐논 RF 마운트 APS-C 입문기"
Canon EOS R50,Canon,APS-C,24.2,4K30,375,None,Fully Articulating,15,Canon RF,0,Mirrorless,,"브이로그/입문 하이브리드로 인기"
Canon EOS R10,Canon,APS-C,24.2,4K60,429,None,Tilt,15,Canon RF,0,Mirrorless,,"연사/AF 빠른 APS-C 중급 입문"
Canon EOS R7,Canon,APS-C,32.5,4K60,612,IBIS,Fully Articulating,15,Canon RF,0,Mirrorless,,"APS-C 상급기, 스포츠/야생에 강점"
Canon EOS R8,Canon,Full Frame,24.2,4K60,461,None,Fully Articulating,40,Canon RF,0,Mirrorless,,"경량 풀프레임 바디, 4K60 및 고속 연사"
Canon EOS R6 Mark II,Canon,Full Frame,24.2,4K60,670,IBIS,Fully Articulating,40,Canon RF,0,Mirrorless,,"풀프레임 중급기, AF/연사/저조도 강점"
Canon EOS R5,Canon,Full Frame,45,8K30/4K120,738,IBIS,Fully Articulating,20,Canon RF,0,Mirrorless,,"고해상도/고급 영상까지 커버하는 상급기"
Canon EOS R3,Canon,Full Frame,24.1,6K60/4K120,1015,IBIS,Fully Articulating,30,Canon RF,0,Mirrorless,,"프로 스포츠/보도용 플래그십급 바디"

Nikon Z30,Nikon,APS-C,20.9,4K30,405,None,Fully Articulating,11,Nikon Z,0,Mirrorless,,"니콘 APS-C 브이로그 보급기"
Nikon Z50,Nikon,APS-C,20.9,4K30,450,None,Tilt,11,Nikon Z,0,Mirrorless,,"니콘 APS-C 보급기 대표 모델"
Nikon Z fc,Nikon,APS-C,20.9,4K30,445,None,Fully Articulating,11,Nikon Z,0,Mirrorless,,"레트로 디자인/휴대성 중심 APS-C"
Nikon Z5,Nikon,Full Frame,24.3,4K30,675,IBIS,Tilt,4.5,Nikon Z,0,Mirrorless,,"가성비 풀프레임 보급기"
Nikon Z f,Nikon,Full Frame,24.5,4K60,710,IBIS,Fully Articulating,14,Nikon Z,0,Mirrorless,,"레트로 바디에 IBIS/4K60 제공"
Nikon Z6 II,Nikon,Full Frame,24.5,4K60,705,IBIS,Tilt,14,Nikon Z,0,Mirrorless,,"풀프레임 중급기, 균형형 스펙"
Nikon Z6 III,Nikon,Full Frame,24.5,6K60/4K60,760,IBIS,Fully Articulating,20,Nikon Z,0,Mirrorless,,"영상/AF 강화된 최신 중급기"
Nikon Z7 II,Nikon,Full Frame,45.7,4K60,705,IBIS,Tilt,10,Nikon Z,0,Mirrorless,,"고해상도 중심 상급기"
Nikon Z8,Nikon,Full Frame,45.7,8K60/4K120,910,IBIS,Fully Articulating,20,Nikon Z,0,Mirrorless,,"플래그십급 성능의 상급기"
Nikon Z9,Nikon,Full Frame,45.7,8K60/4K120,1340,IBIS,Tilt,30,Nikon Z,0,Mirrorless,,"니콘 플래그십, 기계셔터 없는 프로 바디"

Sony ZV-E10,Sony,APS-C,24.2,4K30,343,None,Fully Articulating,11,Sony E,0,Mirrorless,,"소니 브이로그 보급기 (렌즈교환식)"
Sony A6100,Sony,APS-C,24.2,4K30,396,None,Tilt,11,Sony E,0,Mirrorless,,"소니 APS-C 입문기"
Sony A6400,Sony,APS-C,24.2,4K30,403,None,Tilt,11,Sony E,0,Mirrorless,,"AF/색 재현 평가가 좋은 APS-C"
Sony A6600,Sony,APS-C,24.2,4K30,503,IBIS,Tilt,11,Sony E,0,Mirrorless,,"APS-C 상급기, 배터리/IBIS 강점"
Sony A6700,Sony,APS-C,26,4K60/4K120(crop),493,IBIS,Fully Articulating,11,Sony E,0,Mirrorless,,"APS-C 최신 상급기, 영상/AF 강화"
Sony A7C,Sony,Full Frame,24.2,4K30,509,IBIS,Fully Articulating,10,Sony E,0,Mirrorless,,"컴팩트 풀프레임 라인"
Sony A7C II,Sony,Full Frame,33,4K60,514,IBIS,Fully Articulating,10,Sony E,0,Mirrorless,,"컴팩트 풀프레임의 최신 밸런스형"
Sony A7 IV,Sony,Full Frame,33,4K60,658,IBIS,Fully Articulating,10,Sony E,0,Mirrorless,,"전천후 하이브리드 대표 모델"
Sony A7S III,Sony,Full Frame,12.1,4K120,699,IBIS,Fully Articulating,10,Sony E,0,Mirrorless,,"저조도/영상 특화 상급기"
Sony A7R V,Sony,Full Frame,61,8K24/4K60,723,IBIS,Fully Articulating,10,Sony E,0,Mirrorless,,"초고해상도 상급기"
Sony A9 III,Sony,Full Frame,24.6,4K120,702,IBIS,Fully Articulating,120,Sony E,0,Mirrorless,,"글로벌셔터 기반 초고속 스포츠 바디"
Sony A1,Sony,Full Frame,50.1,8K30/4K120,737,IBIS,Fully Articulating,30,Sony E,0,Mirrorless,,"소니 플래그십, 고해상도+고속 연사"
